channelId,name,name.en,affiliation,group,subscriptionCount,videoCount
UCveZ9Ic1VtcXbsyaBgxPMvg,童田明治-わらべだめいじー-,Warabeda Meiji,Nijisanji,Wave 2019,221000,269
UCwrjITPwG4q71HzihV2C7Nw,フミ/にじさんじ,Fumi,Nijisanji,Wave 2019,156000,548
UCXRlIK3Cw_TJIQC5kSJJQMg,戌亥とこ -Inui Toko-,Inui Toko,Nijisanji,Wave 2019,456000,270
UCZ1xuCK1kNmn5RzPYIZop3w,リゼ・ヘルエスタ -Lize Helesta-,Lize Helesta,Nijisanji,Wave 2019,519000,383
UC_82HBGtvwN1hcGeOGHzUBQ,空星きらめ/Sorahoshi Kirame【にじさんじ】,Sorahoshi Kirame,Nijisanji,Wave 2020,116000,154
UCebT4Aq-3XWb5je1S1FvR_A,東堂コハク/ Todo Kohaku [にじさんじ],Todo Kohaku,Nijisanji,Wave 2020,84300,115
UCe_p3YEuYJb8Np0Ip9dk-FQ,朝日南アカネ / Asahina Akane 【にじさんじ】,Asahina Akane,Nijisanji,Wave 2020,98000,191
UCGw7lrT-rVZCWHfdG9Frcgg,弦月 藤士郎 / Genzuki Tojiro【にじさんじ】,Genzuki Tojiro,Nijisanji,Wave 2020,165000,329
UCkngxfPbmGyGl_RIq4FA3MQ,西園チグサ / Nishizono Chigusa,Nishizono Chigusa,Nijisanji,Wave 2020,229000,378
UCL_O_HXgLJx3Auteer0n0pA,周央 サンゴ / Suo Sango【にじさんじ】,Suo Sango,Nijisanji,Wave 2020,119000,205
UCmZ1Rbthn-6Jm_qOGjYsh5A,イブラヒム【にじさんじ】,Ibrahim,Nijisanji,Wave 2020,302000,447
UCo2N7C-Z91waaR6lF3LL_jw,甲斐田 晴 / Kaida Haru【にじさんじ】,Kaida Haru,Nijisanji,Wave 2020,222000,516
UCRqBKoKuX30ruKAq05pCeRQ,北小路ヒスイ / Kitakoji Hisui 【にじさんじ】,Kitakoji Hisui,Nijisanji,Wave 2020,159000,235
UCuep1JCrMvSxOGgGhBfJuYw,フレン・E・ルスタリオ,Furen E Lustario,Nijisanji,Wave 2020,315000,370
UCwcyyxn6h9ex4sMXGtpQE_g,メリッサ・キンレンカ,Melissa Kinrenka,Nijisanji,Wave 2020,298000,234
UCXW4MqCQn-jCaxlX-nn-BYg,長尾 景 / Nagao Kei【にじさんじ】,Nagao Kei,Nijisanji,Wave 2020,189000,480
UCDqI2jOz0weumE8s7paEk6g,Roboco Ch. - ロボ子,Roboco-san,Hololive,,650000,572
UC0Owc36U9lOyi9Gx9Ic-4qg,Haneru Channel / 因幡はねる 【あにまーれ】,Inaba Haneru,774inc,AniMare,258000,1516
UC2kyQhzGOB-JPgcQX9OMgEw,Ichika Channel / 宗谷 いちか 【あにまーれ】,Souya Ichika,774inc,AniMare,83100,542
UC3xG1XWzAKt5dxSxktJvtxg,Rukako Channel / 大浦るかこ 【あにまーれ】,Oura Rukako,774inc,AniMare,20600,63
UC4PrHgUcAtOoj_LKmUL-uLQ,Mia Channel / 湖南みあ 【あにまーれ】,Konan Mia,774inc,AniMare,14800,57
UC_BlXOQe5OcRC7o0GX8kp8A,Natsumi Channel / 羽柴なつみ 【あにまーれ】,Hashiba Natsumi,774inc,AniMare,31600,259
UCFsWaTQ7kT76jNNGeGIKNSA,Hikari Channel / 飛良ひかり 【あにまーれ】,Hira Hikari,774inc,AniMare,22000,176
UCqskJ0nmw-_eweWfsKvbrzQ,Tirol Channel /月野木ちろる 【あにまーれ】,Tsukinoki Tirol,774inc,AniMare,31500,156
UCRvpMpzAXBRKJQuk-8-Sdvg,Ran Channel / 日ノ隈らん 【あにまーれ】,Hinokuma Ran,774inc,AniMare,119000,982
UCtzCQnCT9E4o6U3mHHSHbQQ,Mimi Channel / 白宮みみ 【あにまーれ】,Shiromiya Mimi,774inc,AniMare,54600,535
UCW8WKciBixmaqaGqrlTITRQ,Izumi Channel / 柚原いづみ 【あにまーれ】,Yunohara Izumi,774inc,AniMare,55200,547
UC_WOBIopwUih0rytRnr_1Ag,Rui Channel / 瀬島るい 【あにまーれ】,Seshima Rui,774inc,AniMare,27200,192
UCXp7sNC0F_qkjickvlYkg-Q,Kuku Channel / 風見くく 【あにまーれ】,Kazami Kuku,774inc,AniMare,88300,400
UC0TXe_LYZ4scaW2XMyi5_kw,AZKi Channel,AZKi,Hololive,,443000,184
UC5CwaMl1eIgY8h02uZw7u8A,Suisei Channel,Hoshimachi Suisei,Hololive,,939000,330
UCDh2bWI5EDu7PavqwICkVpA,Mico Channel / 堰代ミコ【ハニスト】,Sekishiro Mico,774inc,HoneyStrap,78600,639
UCeLzT-7b2PBcunJplmWtoDg,Patra Channel / 周防パトラ 【ハニスト】,Suou Patra,774inc,HoneyStrap,441000,1250
UCwePpiw1ocZRSNSkpKvVISw,Mary Channel / 西園寺メアリ【ハニスト】,Saionji Mary,774inc,HoneyStrap,157000,880
UCYTz3uIgwVY3ZU-IQJS8r3A,Charlotte Channel / 島村シャルロット【ハニスト】,Shimamura Charlotte,774inc,HoneyStrap,71700,794
UC2hc-00y-MSR6eYA4eQ4tjQ,Rene Channel / 龍ヶ崎リン 【シュガリリ】,Ryugasaki Rene,774inc,SugarLyric,50700,415
UC--A2dwZW7-M2kID0N6_lfA,Chris Channel / 獅子王クリス 【シュガリリ】,Shisho Chris,774inc,SugarLyric,32600,284
UCvPPBoTOor5gm8zSlE2tg4w,Anna Channel / 虎城アンナ 【シュガリリ】,Kojo Anna,774inc,SugarLyric,30900,207
UC3EhsuKdEkI99TWZwZgWutg,Uge Channel / 杏戸ゆげ 【ブイアパ】,And Uge,774inc,VApArt,132000,684
UChXm-xAYPfygrbyLo2yCASQ,Anko Channel / 季咲あんこ 【ブイアパ】,Kisaki Anko,774inc,VApArt,31100,422
UCmqrvfLMws-GLGHQcB5dasg,花奏 かのん / Kanade Kanon ch,Kanade Kanon,774inc,VApArt,46800,220
UCV4EoK6BVNl7wxuxpUvvSWA,Wat Channel / 不磨わっと 【ブイアパ】,Wat Huma,774inc,VApArt,32500,298
UCzUNASdzI4PV5SlqtYwAkKQ,Met Channel / 小森めと 【ブイアパ】,Komori Met,774inc,VApArt,102000,384
UC-hM6YJuNYVAmUWxeIr9FeA,Miko Ch. さくらみこ,Sakura Miko,Hololive,,1040000,422
UCIeSUTOTkF9Hs7q3SGcO-Ow,Elira Pendora 【NIJISANJI EN】,Elira Pendora,Nijisanji,Nijisanji EN,96100,22
UCP4nMSTdwU1KqYWu3UH5DHQ,Pomu Rainpuff 【NIJISANJI EN】,Pomu Rainpuff,Nijisanji,Nijisanji EN,79100,22
UCu-J8uIXuLZh16gG-cT1naw,Finana Ryugu 【NIJISANJI EN】,Finana Ryugu,Nijisanji,Nijisanji EN,87500,17
UC5qSx7KzdRwbsO1QmJc4d-w,Siska Leontyne 【NIJISANJI ID】,Siska Leontyne,Nijisanji,Nijisanji ID,55800,161
UC5yckZliCkuaEFbqzLBD7hQ,Reza Avanluna [NIJISANJI ID],Reza Avanluna [NIJISANJI ID],Nijisanji,Nijisanji ID,23400,198
UC8Snw5i4eOJXEQqURAK17hQ,Rai Galilei【NIJISANJI ID】,Rai Galilei,Nijisanji,Nijisanji ID,31800,154
UCA3WE2WRSpoIvtnoVGq4VAw,ZEA Cornelia【NIJISANJI ID】,ZEA Cornelia,Nijisanji,Nijisanji ID,72300,310
UCHjeZylSgXDSnor8wUnwU_g,Bonnivier Pranaja 【NIJISANJI ID】,Bonnivier Pranaja,Nijisanji,Nijisanji ID,36400,119
UCijNnZ-6m8g85UGaRAWuw7g,Nagisa Arcinia [NIJISANJI ID],Nagisa Arcinia,Nijisanji,Nijisanji ID,20600,145
